Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),217859.6916,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),321978.8024,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2017,GDP in current prices (millions of US dollars),364120.6458,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),393668.8739,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1985,GDP per capita (US dollars),398.874,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1995,GDP per capita (US dollars),317.625,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2005,GDP per capita (US dollars),391.4716,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2010,GDP per capita (US dollars),644.0245,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2015,GDP per capita (US dollars),828.6295,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2017,GDP per capita (US dollars),887.5198,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2018,GDP per capita (US dollars),934.1456,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1985,GDP in constant 2010 prices (millions of US dollars),80024.6165,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),107766.0904,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),160961.5852,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),241179.2898,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),321978.8024,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2017,GDP in constant 2010 prices (millions of US dollars),357337.8098,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),378772.9065,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1985,GDP real rates of growth (percent),2.0135,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.6111,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4522,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2010,GDP real rates of growth (percent),7.9273,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2015,GDP real rates of growth (percent),5.9126,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2017,GDP real rates of growth (percent),5.6718,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2018,GDP real rates of growth (percent),5.9986,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,1985,GDP in current prices (millions of US dollars),35266.8513,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),36080.9147,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),99547.5604,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),189046.0524,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),237286.6618,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2017,GDP in current prices (millions of US dollars),245958.5667,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2018,GDP in current prices (millions of US dollars),250275.8253,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,1985,GDP per capita (US dollars),579.1889,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,1995,GDP per capita (US dollars),430.6875,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2005,GDP per capita (US dollars),888.752,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2010,GDP per capita (US dollars),1436.2787,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2015,GDP per capita (US dollars),1538.7919,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2017,GDP per capita (US dollars),1499.3909,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,2018,GDP per capita (US dollars),1479.8548,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
17,Middle Africa,1985,GDP in constant 2010 prices (millions of US dollars),95449.5899,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
